video_id,title,active_since_days,duration_seconds,total_views,num_chars,num_words,num_punctuation,num_words_uppercase,num_words_lowercase,num_stopwords,avg_word_len,contain_digits,startswith_digits,title_sentiment
v=RFPlmN343hw,GENIUS SCHOOL HACKS and TIPS FOR PARENTS,5,900,1639826,40,7,0,6,1,2,5.714285714285714,0,0,0.0
v=P1UxoFq7h34,LOW-BUDGET ROOM MAKEOVER IDEAS || Smart Repair Hacks & Tricks,5,960,441260,61,10,4,4,0,0,6.1,0,0,0.21428571428571427
v=ZeMVh8OptSU,These Awesome Cleaning Hacks Will Blow Your Mind 🤯 #shorts,6,60,425344,58,10,1,0,1,3,5.8,0,0,1.0
v=77XSqhWT66A,BEST GADGETS FOR SMART PARENTS,6,960,125342,30,5,0,5,0,1,6.0,0,0,0.6071428571428571
v=pgLirybCW2w,Amazing Beauty Ideas & Gadgets You Need To See,7,960,393097,46,9,1,0,0,2,5.111111111111111,0,0,0.6000000000000001
v=21CRZthRAMc,MEGA PARENTING COMPILATION || Best DIYs & Hacks For Parents,7,4260,1856595,59,10,3,3,0,1,5.9,0,0,1.0
v=ZzorplW6hm4,YUMMY TIKTOK DESSERTS || Recipes You Can Make In 5 Minutes,8,533,480102,58,11,2,3,0,3,5.2727272727272725,1,0,0.0
v=7hB_xB_XOvw,Must-Have Kitchen Gadgets & Hacks To Boost Your Cooking Skills,8,1080,232200,62,10,2,0,0,2,6.2,0,0,0.0
v=T-QnsgBaCtA,WOW! 5-MINUTE CRAFTS CITY GAME 🎮 #shorts,9,18,122390,40,7,3,5,1,0,5.714285714285714,1,0,-0.1375
v=BCzpPcoHwmA,BEST ART HACKS & SCHOOL CRAFTS YOU NEED TO TRY,9,3660,1120865,46,10,1,9,0,2,4.6,0,0,1.0
v=jffKZlYozjQ,How to Make DALGONA CANDY From SQUID GAME || Easy Desserts & Sweet Hacks,10,960,377099,72,14,3,4,1,3,5.142857142857143,0,0,0.12777777777777777
v=u0dPP9c85Rw,USEFUL HACKS & TRENDY GADGETS Everyone Should See,10,900,615448,49,8,1,4,0,1,6.125,0,0,0.44999999999999996
v=lQ1zaEWko6k,GENIUS OUTDOOR HACKS EVERYONE SHOULD KNOW,10,581,1023475,41,6,0,6,0,1,6.833333333333333,0,0,0.0
v=-owcnvZk-LQ,PIE FACE CHALLENGE WITH 5-MINUTE CRAFTS #shorts,11,34,15838158,47,7,2,6,1,1,6.714285714285714,1,0,0.0
v=f-7ygug2WWI,SURPRISING HACKS FOR ALL OCCASIONS,12,960,363289,34,5,0,5,0,2,6.8,0,0,0.7
v=At9-pvifL5s,"AWESOME HACKS FOR PET OWNERS || Cute DIYs, Fun Toys and Useful Gadgets",12,900,2641000,70,13,3,5,1,2,5.384615384615385,0,0,0.525
v=FrPZ28_437E,PRICELESS HACKS & CRAFTS FOR PARENTS and THEIR KIDS,12,960,659551,51,9,1,7,1,3,5.666666666666667,0,0,1.0
v=pYW4JxmSaaE,5-MINUTE CRAFTS 5TH ANNIVERSARY CHALLENGE 🥳 #shorts,13,53,207931,51,7,2,5,1,0,7.285714285714286,1,1,0.0
v=2glWw4yZzoI,AMAZING FOOD COMMERCIAL TRICKS || Cool Photo & Video Ideas,10,668,461338,58,10,3,4,0,0,5.8,0,0,0.3166666666666667
v=zvPhPaqhlQw,POSITIVE PARENTING TIPS || Best Crafts and Hacks For Smart Moms and Dads,10,3600,2741892,72,13,2,3,2,3,5.538461538461538,0,0,0.4805194805194805
v=gGTJlLLGbAE,Clever Recycling Hacks || How to Reuse Old Stuff,10,572,432458,48,9,2,0,1,2,5.333333333333333,0,0,0.13333333333333333
v=O1YsF_v8Zu0,CATCH THE CANDY CHALLENGE 🍬 #shorts,10,25,27156933,35,6,1,4,1,1,5.833333333333333,0,0,0.0
v=wGHw6JBv3s4,USEFUL HACKS & CRAFTS FOR THE BEST PARENTS EVER,10,960,368205,47,9,1,8,0,2,5.222222222222222,0,0,0.65
v=pk718cNmojY,SMART GADGETS & FUN TOYS THAT YOUR PETS WILL LOVE,10,900,651429,49,10,1,9,0,3,4.9,0,0,0.33809523809523806
v=DHgSpRwH_0Y,MYSTERY BOX CHALLENGE GONE WRONG 🤪 #shorts,10,24,644367,42,7,1,5,1,0,6.0,0,0,-0.5
v=7AFIHXtS6Ug,SUMMER HOUSE vs WINTER HOUSE || Amazing Huge Craft Ideas,10,2040,1706885,56,10,2,4,1,0,5.6,0,0,0.5000000000000001
v=fax9u2Im-V4,BEST HACKS & GADGETS FOR SMART PET OWNERS,10,900,188045,41,8,1,7,0,1,5.125,0,0,0.6071428571428571
v=3dGmHQ3GXpI,KITCHEN HACKS & GADGETS TO COOK LIKE A PRO,10,960,786746,42,9,1,8,0,2,4.666666666666667,0,0,0.0
v=RY-4CrRyy6Y,5-MINUTE CRAFTS BOTTLE CHALLENGE #shorts,10,32,3076818,40,5,2,4,1,0,8.0,1,1,0.0
v=z7vEKiijrvU,GENIUS CLEANING HACKS TO KEEP YOUR PLACE NEAT,10,589,334818,45,8,0,8,0,2,5.625,0,0,0.0
v=SgSRd7zhcnY,SMART HACKS FOR PARENTS TO MAKE YOUR LIFE EASIER,10,960,945979,48,9,0,9,0,3,5.333333333333333,0,0,0.21428571428571427
v=NvslX-IgRbI,Fantastic Gadgets And Hacks For The Best Pet Owners,15,960,1004709,51,9,0,0,0,3,5.666666666666667,0,0,0.7
v=dZ0yiDn3UZA,EASY & TASTY RECIPES TO COOK UNDER 5 MINUTES,15,900,896460,44,9,1,7,0,2,4.888888888888889,1,0,0.43333333333333335
v=POspEZXyRW4,CANDY CHALLENGE FOR COUPLES 🍬 #shorts,15,11,802983,37,6,1,4,1,1,6.166666666666667,0,0,0.0
v=w_3K1sPX7mg,HOW TO HIDE CANDIES FROM YOUR KIDS 🍬 Priceless Hacks For Smart Parents,15,900,157112,70,13,0,7,0,5,5.384615384615385,0,0,0.6071428571428571
v=RjMRcWnRT_M,INCREDIBLE CEMENT CRAFTS FOR HOME THAT YOU SHOULD TRY,15,1140,8021081,53,9,0,9,0,4,5.888888888888889,0,0,0.9
v=umFkKp5837U,HOW TO FILM COOKING HACKS 👩‍🍳 #shorts,15,18,4118413,37,7,1,5,1,2,5.285714285714286,0,0,0.0
v=Y3_4H18Vags,HOW TO TIE DYE || Amazing Ways To Transform Your Clothes,20,602,589254,56,11,2,4,0,4,5.090909090909091,0,0,0.6000000000000001
v=_4bVfUp_5N4,PARENTING LIFE IS FUN! Priceless Hacks For Smart Parents,20,900,402731,56,9,1,4,0,2,6.222222222222222,0,0,0.5297619047619048
v=PO0aXZNe_IA,BEST SUMMER HACKS YOU WISH YOU KNEW SOONER,20,3960,1264717,42,8,0,8,0,2,5.25,0,0,1.0
v=UEh_xFgHmTQ,VIRAL TOOTHPASTE CHALLENGE #shorts,20,31,81536845,34,4,1,3,1,0,8.5,0,0,0.0
v=Ez6Yrnh4w6k,GENIUS HACKS FOR SMART PET OWNERS,30,900,10094013,33,6,0,6,0,1,5.5,0,0,0.21428571428571427
v=UyOn0RnSpUI,WE TESTED VIRAL TIKTOK HACKS! #shorts,30,18,6858201,37,6,2,5,1,1,6.166666666666667,0,0,0.0
v=G_fV8zzaSHc,100+ Amazing Parenting Hacks That Will Change Your Life,30,3720,3113351,55,9,1,0,0,3,6.111111111111111,1,1,0.6000000000000001
v=uFUucy4sUCw,Refreshing Hacks For Hot Days Everyone Should Know,30,616,638820,50,8,0,0,0,2,6.25,0,0,0.375
v=LmQsPNmL1Y0,HOW TO MAKE DRINKING STRAW SLIPPERS #shorts,30,29,2055207,43,7,1,6,1,2,6.142857142857143,0,0,0.0
v=5MAQm0Up7hQ,30+ BRILLIANT HACKS FOR TRENDY PARENTS,30,960,836763,38,6,1,5,0,1,6.333333333333333,1,1,0.75
v=yuEZaXeXoog,POSITIVE PARENTING TIPS || Cute Crafts And DIY Ideas For Parents,30,900,266479,64,11,2,4,0,2,5.818181818181818,0,0,0.36363636363636365
v=4cFu7vVDZ-I,SMART HACKS WITH FRUITS & VEGGIES || How To Cut And Peel Fruits Like a Pro,30,626,719071,74,16,3,5,1,5,4.625,0,0,0.21428571428571427
v=Ht9pxFdf52U,Best Hacks and Gadgets For Your Adorable Pets,30,1980,1159500,45,8,0,0,1,3,5.625,0,0,0.75
v=xWIsuZ0wey0,COOL MYSTERY BOX! Awesome TikTok Challenges and Fun Experiments,30,900,229500,63,9,1,3,1,1,7.0,0,0,0.5791666666666667
v=r2VZ-qNp7Ys,BACK to SCHOOL! Awesome School Crafts and Hacks For Parents,30,3720,4950989,59,10,1,2,2,3,5.9,0,0,0.5
v=TD1wURfiFAg,"EASY HALLOWEEN DECOR, MAKEUP IDEAS AND COSTUMES",30,1080,477177,47,7,1,7,0,1,6.714285714285714,0,0,0.43333333333333335
v=3nn6cg6ZDds,BEST GADGETS & HACKS FOR PET OWNERS🐶🐱 #shorts,30,55,1409594,45,8,2,6,1,1,5.625,0,0,1.0
v=fa2g4igpn20,How to Be Friends With Your Kid? Positive Parenting Hacks,30,552,594133,57,10,1,0,1,5,5.7,0,0,0.22727272727272727
v=6ote7Q1xLwQ,CRAZY MAKEUP IDEAS FOR A HALLOWEEN PARTY,30,900,259053,40,7,0,7,0,2,5.714285714285714,0,0,-0.6
v=CeR3f1_naak,AMAZING DESSERTS FOR REAL FOODIES || Easy Sweet Recipes Anyone Can Make,30,1020,2934103,71,12,2,5,0,2,5.916666666666667,0,0,0.39583333333333337
v=4za4I8vaZ_g,How to Play DALGONA GAME #shorts,30,31,3694032,32,6,1,2,2,2,5.333333333333333,0,0,-0.4
v=ZQEFK5gjaeY,AMAZING BACKYARD DECOR IDEAS || How to Upgrade Your Backyard,30,2220,3986298,60,10,2,4,1,3,6.0,0,0,0.6000000000000001
v=sgEaOnaFVVU,MINI FOOD vs GIANT FOOD || Mouth-Watering Recipes You Should Try,30,611,450625,64,11,3,4,1,2,5.818181818181818,0,0,0.35
v=QULx2HQp6HE,UNUSUAL RECYCLING IDEAS FOR YOUR HOUSE,30,960,464671,38,6,0,6,0,2,6.333333333333333,0,0,0.2
v=lCePSP4lb-k,OMG! WE MADE AMAZING CRAFTS THAT WILL SURPRISE YOUR FRIENDS AND PARENTS!,30,558,783498,72,12,2,12,0,5,6.0,0,0,0.7500000000000001
v=G7O9iWWOtTY,EXTREME ROOM TRANSFORMATION || Cool Design Ideas For Your Place,30,1020,364401,63,10,2,3,0,2,6.3,0,0,0.11249999999999999
v=cd0u5IFxBdo,LATE SUMMER HACKS TO SAVE YOUR DAY,30,629,1186501,34,7,0,7,0,2,4.857142857142857,0,0,-0.3
v=lWSXHFPqBfo,EVERY SMART PARENT KNOWS THESE USEFUL HACKS #shorts,30,41,16586831,51,8,1,7,1,1,6.375,0,0,0.2571428571428571
v=qqPFeyd84Lg,SMART HACKS TO SAVE YOUR WEDDING DAY🤵‍👰‍💍🕊️,30,784,270571,43,7,0,7,0,2,6.142857142857143,0,0,0.21428571428571427
v=RgGatLyuXvo,MINI FOOD COOKING || Amazing Mini Crafts & Miniature House Models,30,1080,242834,65,11,3,3,0,0,5.909090909090909,0,0,0.6000000000000001
v=zuFMA6hi_ZM,Emergency Hacks For Smart Moms And Dads || Everyday Parenting Tips,30,900,246056,66,11,2,0,0,2,6.0,0,0,0.007142857142857131
v=MPRk5hcvBBc,Best DIY Jewelry Ideas || 3D Pen & Epoxy Resin Crafts,30,960,729639,53,11,3,2,0,0,4.818181818181818,1,0,1.0
v=xLuPvUrS5lc,TRENDY FIDGET TOYS YOU NEED TO SEE || DIY Fidget Toys Ideas,30,696,1558659,59,12,2,8,0,2,4.916666666666667,0,0,0.6
v=KKtvsTjpgmo,"Wow! Useful Gadgets, Toys And Hacks For Smart Pet Owners",30,900,4994512,56,10,2,0,0,2,5.6,0,0,0.2130952380952381
v=wWZsTEzYCDw,"GUIDE FOR PARENTS: Useful Gadgets, Crafts And Hacks",30,3600,2878459,51,8,2,3,0,2,6.375,0,0,0.3
v=LNHHhC0C-Is,GLUE GUN vs 3D PEN! Genius Hacks & Cool Crafts,30,1020,712237,46,10,2,4,1,0,4.6,1,0,0.35
v=rXbxYB1-9K0,FANTASTIC ART HACKS FOR BEGINNERS,30,900,313048,33,5,0,5,0,1,6.6,0,0,0.4
v=lRHfuH2tD5Q,PRICELESS HACKS AND CRAFTS FOR SMART PARENTS,30,3780,7971044,44,7,0,7,0,2,6.285714285714286,0,0,0.6071428571428571
v=Vq_WrH4mmGY,Fun Activities and Cool Crafts for Parents to Do With Their Kids,30,576,2072573,64,12,0,0,3,6,5.333333333333333,0,0,0.32499999999999996
v=-QEM4HweTys,IF OBJECTS WERE PEOPLE || Funny Situations And Relatable Moments,30,900,205542,64,10,2,4,0,3,6.4,0,0,0.25
v=foMm6pE0L7o,Brilliant Hacks & Crafts All Parents Should Know,30,900,769217,48,8,1,0,0,2,6.0,0,0,0.9
v=_VjRtjLi0w8,30+ AMAZING CRAFT IDEAS & HACKS WITH 3D PEN,30,960,956575,43,9,2,7,0,1,4.777777777777778,1,1,0.6000000000000001
v=4FJlhjscg2k,Food Hacks & Snack Ideas For The Best Parents Ever,30,1020,786365,50,10,1,0,0,2,5.0,0,0,1.0
v=4kOFS6Sqqy8,SPOOKY HALLOWEEN IDEAS || Easy Halloween Recipes and DIYs,30,603,546255,57,9,2,3,1,1,6.333333333333333,0,0,0.43333333333333335
v=cUahECNuupY,AMAZING GARDEN HACKS & PLANTING IDEAS,30,900,394058,37,6,1,5,0,0,6.166666666666667,0,0,0.6000000000000001
v=bMHGju6H4uo,KIDS vs DOCTOR👩‍⚕💉 || All Parents Should Know These Valuable Life Hacks,30,3660,3706738,71,12,2,2,1,3,5.916666666666667,0,0,0.0
v=Fp33nUQEVu8,"MYSTERY BOX CHALLENGE! Popular TikTok Challenges, Games And Experiments",30,900,264513,71,9,2,3,0,1,7.888888888888889,0,0,0.6
v=EaFHCa51558,"POP IT MEGA COMPILATION || Best Crafts, Fun DIYs And Life Hacks",30,900,597579,63,12,3,4,0,2,5.25,0,0,0.65
v=2unLZvJpOxE,50 CREATIVE WAYS TO COOK EGGS,30,900,388093,29,6,0,5,0,1,4.833333333333333,1,1,0.5
v=NQYtgTKFB3M,PARENTING IS EASY! Top Hacks & Crafts From Smart Parents,30,960,2463052,56,10,2,3,0,2,5.6,0,0,0.41865079365079366
v=iKwhW7gYwl4,BEST WEDDING DAY HACKS FOR SMART BRIDES AND GROOMS,60,611,1220718,50,9,0,9,0,2,5.555555555555555,0,0,0.6071428571428571
v=Ebrp_VSInls,BEST PET GADGETS AND HACKS EVERY PET OWNER SHOULD KNOW,60,960,2466890,54,10,0,10,0,2,5.4,0,0,1.0
v=HDEdowENHxU,Best Snack Ideas For Parents || Easy Family Meal Ideas,60,3660,692515,54,10,2,0,0,1,5.4,0,0,0.7166666666666667
v=E_U-T65hBjQ,OMG! WE BUILT A GIANT POOL IN OUR BACKYARD😎💦🍹 #shorts,60,59,22808458,53,10,2,9,1,4,5.3,0,0,0.0
v=nRGFJ6dZSdE,50 BEST ART HACKS FOR BEGINNERS,60,900,404343,31,6,0,5,0,1,5.166666666666667,1,1,1.0
v=36cJz-KP_VA,AWESOME SHOE HACKS || How To Renovate Old Shoes,60,960,551818,47,9,2,3,0,2,5.222222222222222,0,0,0.55
v=10lqF2HUlw8,30+ SMART PARENTING HACKS AND CRAFTS,60,545,2137981,36,6,1,5,0,1,6.0,1,1,0.21428571428571427
v=c6rUmsRY524,Brilliant Kitchen Hacks & Yummy Recipes To Make You Love Cooking,60,900,306388,64,11,1,0,0,2,5.818181818181818,0,0,0.7
v=jy8fS1p3tfQ,CREEPY REALISTIC SOAP IDEAS || DIY Candle And Soap Crafts,60,960,421632,57,10,2,5,0,1,5.7,0,0,-0.16666666666666669
v=yiHpQ7nwvaw,SURVIVAL GUIDE FOR PARENTS || Best Hacks For Moms And Dads,60,3720,6079382,58,11,2,4,0,3,5.2727272727272725,0,0,1.0
v=ugAo3WTWcbE,CLEVER HIDING PLACES FOR MONEY & JEWELRY || Valuable Home Hacks,60,960,887005,63,11,3,6,0,1,5.7272727272727275,0,0,0.16666666666666666
v=DV2FHLPi3WQ,GADGETS vs HACKS || Kitchen Devices And Clever Tips To Make Cooking Easier,60,1020,481159,74,13,2,2,1,2,5.6923076923076925,0,0,0.16666666666666666
v=LcoU-1-IxRA,MESMERIZING CLAY POTTERY TRICKS AND CRAFTS,60,900,249021,42,6,0,6,0,1,7.0,0,0,0.3
v=j2cwnMlkMZI,BEST SUMMER GADGETS AND HACKS || Useful Gadgets For Any Occasions,60,3660,1779466,65,11,2,5,0,3,5.909090909090909,0,0,0.65
v=YQx0eDZ0lzU,GENIUS HACKS AND GADGETS FOR PET OWNERS,60,563,2711481,39,7,0,7,0,2,5.571428571428571,0,0,0.0
v=ch9KdXzeC78,NAIL HACKS YOU MUST KNOW || Pedicure & Manicure Guide,60,900,692434,53,10,3,5,0,1,5.3,0,0,0.0
v=9ejZrtQtM58,FIX ANYTHING WITH A 3D PEN || Brilliant Repair Hacks,60,652,398771,52,10,2,6,0,2,5.2,1,0,0.9
v=8AuqZ6ZplVw,UNUSUAL SOAP AND CANDLE IDEAS TO MAKE AT HOME,60,610,765511,45,9,0,9,0,3,5.0,0,0,0.2
v=ZKdu_XV-Fek,EXTREME ROOM MAKEOVER || Fantastic Transformations & Wooden House Tutorials,60,3780,4107610,75,10,3,3,0,0,7.5,0,0,0.09166666666666667
v=00mJdVLN1tE,BRILLIANT HACKS FOR A FAMILY TRIP,60,900,624897,33,6,0,6,0,2,5.5,0,0,0.9
v=_Rte0iSQEC4,EMERGENCY HACKS FOR SMART PARENTS || Valuable Parenting Tips,60,625,2057693,60,9,2,5,0,1,6.666666666666667,0,0,0.21428571428571427
v=aKzX3n5G3fg,TOP 25 PLASTIC RECYCLING IDEAS,60,616,619426,30,5,0,4,0,0,6.0,1,0,0.5
v=dzbL3Xquogg,100+ BEST SUMMER HACKS & GADGETS,60,3780,3581471,32,6,2,4,0,0,5.333333333333333,1,1,1.0
v=wfU11xoRGhE,EXCELLENT CLOTHING HACKS FOR CRAFTY PARENTS,60,783,148156,43,6,0,6,0,1,7.166666666666667,0,0,0.7
v=tT3bv3h3Cpk,How to Make POP IT Soap || Candle and Soap Ideas for Crafters,60,1260,242859,61,13,2,2,3,5,4.6923076923076925,0,0,0.0
v=Erai7iVKPEU,COOL EGG HACKS || VALUABLE HOME HACKS FOR ALL OCCASIONS,60,656,552011,55,10,2,9,0,2,5.5,0,0,0.35
v=O-0pycMJwxU,Amazing Kid’s Room Makeover || Guide For Parents,60,528,23824479,48,8,2,0,0,1,6.0,0,0,0.6000000000000001
v=Yu7WhrfOeaI,UNEXPECTED LIFE HACKS WITH TOOTHBRUSH & TOOTHPASTE || Useful Everyday Tips,60,671,366962,74,11,3,6,0,1,6.7272727272727275,0,0,0.06666666666666667
v=H6GMBNuCmZw,100+ BEST PARENTING HACKS EVER,60,3600,630430,30,5,1,4,0,0,6.0,1,1,1.0
v=T-h3pN0JDMA,HOW TO BE A COOL PARENT || Everyday Hacks & Tips For Parents,60,713,327415,60,13,3,6,0,5,4.615384615384615,0,0,0.07499999999999998
v=oah54kI7eoI,BEST GADGETS & CRAFTS FOR YOUR PHONE || Upgrade Your Phone With These DIYs,60,771,246954,74,14,3,6,0,5,5.285714285714286,0,0,1.0
v=D9N4xXGZREg,How to Make Doll Dress from Balloon 🎀 Parenting Hacks For Smart Moms and Dads,60,3780,2943761,77,15,0,0,3,5,5.133333333333334,0,0,0.21428571428571427
v=nSy0Ub4ny-E,YOU'VE BEEN DOING THESE THINGS WRONG || Random Hacks For All Occasions,60,632,436251,70,12,3,6,0,6,5.833333333333333,0,0,-0.5
v=2HTNvQXuFhM,POSITIVE PARENTING TIPS || How To Be A Cool Parent,60,682,715188,50,10,2,4,0,4,5.0,0,0,0.28863636363636364
v=wnRIcWk3QJw,BRILLIANT FASHION HACKS TO UPGRADE YOUR WARDROBE,60,633,564145,48,7,0,7,0,2,6.857142857142857,0,0,0.9
v=Nd4bRu-YtCU,"Ingenious Gadgets For Parents || Useful Devices, Crafts & Everyday Tips",60,737,821247,71,11,4,0,0,1,6.454545454545454,0,0,0.20000000000000004
v=Hcuqsc3Cw_s,MEGA SUMMER HACKS For Smart Parents,60,3720,11882263,35,6,0,3,0,1,5.833333333333333,0,0,0.21428571428571427
v=kgqGYCkBh_8,20+ AWESOME EXPERIMENTS TO BLOW YOUR MIND,60,655,152922,41,7,1,6,0,2,5.857142857142857,1,1,1.0
v=sFWDja6K2jk,PARENTING IS EASY With These Simple Everyday Hacks,60,821,263061,50,8,0,3,0,3,6.25,0,0,0.07777777777777778
v=8wVpposxXXU,TOP HACKS AND GADGETS FOR BEST PET OWNERS,60,688,191048,41,8,0,8,0,2,5.125,0,0,0.75
v=uYtEJLjV96Q,CHILD YOU VS. ADULT YOU || Funny Situations and Cool Hacks,60,581,582212,58,11,3,5,1,3,5.2727272727272725,0,0,0.2333333333333333
v=3exz6AKhtPs,GREATEST SUMMER HACKS FROM 5-MINUTE CRAFTS #shorts,60,60,43221266,50,7,2,6,1,1,7.142857142857143,1,0,1.0
v=P7zHdNgdGuI,HOW TO BE A GOOD PARENT? Best Parenting Hacks For Everyday,60,3600,5410983,58,11,1,6,0,5,5.2727272727272725,0,0,0.5
v=f-pNcSi5Lh0,Best Swimming Pool Hacks || Everyday Hack For Hot Days,60,792,772988,54,10,2,0,0,1,5.4,0,0,0.35000000000000003
v=FdhbK1lawbw,SUMMERLICIOUS RECIPES YOU'LL WANT TO TRY,60,900,427791,40,6,1,6,0,2,6.666666666666667,0,0,0.0
v=uvtGVzCZwkc,20+ CRAZY SCHOOL PRANKS || Smart Hacks And Crafts For Students,60,898,308352,62,11,3,3,0,2,5.636363636363637,1,1,-0.19285714285714284
v=w9Q9CMPJyXI,Smart Kitchen Hacks to Improve Your Cooking Skills || Tasty Recipes For The Whole Family,60,899,641161,88,15,2,0,1,4,5.866666666666666,0,0,0.20714285714285713
v=Ov9qD06t5gI,TOP 30 GENIUS PARENTING HACKS AND GADGETS,60,900,1952153,41,7,0,6,0,1,5.857142857142857,1,0,0.5
v=266tNucO0hg,50 Simple Hacks to Be a Good Parent || Useful Ideas For Crafty Parents,60,960,339737,70,14,2,0,2,4,5.0,1,1,0.35
v=pxA3MMwiAJo,SMART BEACH HACKS THAT WILL SAVE YOUR SUMMER,60,676,3566741,44,8,0,8,0,3,5.5,0,0,0.21428571428571427
v=FoUAqwnuyKE,Smart Parenting Hacks You'll Be Glad to Know || Cool Crafts to Make With Your Kids,60,3660,716281,82,16,3,0,2,6,5.125,0,0,0.3547619047619048
v=80d4id92EV8,CRAZY HALLOWEEN MAKEUP IDEAS #shorts,60,57,65371238,36,5,1,4,1,0,7.2,0,0,-0.6
v=aVEmXGzmI6w,Amazing Camping Tips to Make Your Trip Unforgettable 🏕,60,802,316088,54,9,0,0,1,2,6.0,0,0,0.7000000000000001
v=kqgmnTWwfFQ,TRAVELING WITH KIDS IS FUN! Smart Parenting Hacks For A Family Trip,60,567,2972554,67,12,1,6,0,4,5.583333333333333,0,0,0.29464285714285715
v=eaPrVcLaqOE,35 Useful Gardening Hacks || Easy Ways to Grow And Collect Food,60,827,3868421,63,12,2,0,1,2,5.25,1,1,0.3666666666666667
v=LT0Bg_M289A,Easy Photography Hacks || 30+ Ideas For Everyone,60,1020,388459,48,8,3,0,0,1,6.0,1,0,0.43333333333333335
v=-V2zl4hxtdk,WATER POOL SUMMER HACKS,60,900,474198,23,4,0,4,0,0,5.75,0,0,0.0
v=ByGd_ZF7l1k,50 COOL SOAP HACKS || DIY Soap Crafts For The Whole Family,60,900,498807,58,12,2,4,0,2,4.833333333333333,1,1,0.275
v=ifaFl8oo_ck,WOW! 35+ Best Hacks || Summer DIYs and Trendy Gadgets,60,960,600793,53,10,4,1,1,1,5.3,1,0,0.5750000000000001
v=cbmPxj_3wOU,100+ BEST PARENTING LIFE HACKS || Smart Tips for Parents,90,3600,2172611,56,10,3,4,1,1,5.6,1,1,0.6071428571428571
v=18hKzLrFxVk,BACK to SCHOOL! Brilliant School Crafts & DIYs,90,677,2111831,46,8,2,2,1,1,5.75,0,0,0.45
v=ZzIWPTUDat0,These Parenting Hacks Will Change Your Life || Gadgets And Tips For Parents,90,797,161470,75,13,2,0,0,5,5.769230769230769,0,0,0.0
v=u37AlGPyQIk,BEST HACKS TO STORE FOOD FOR LONGER || Kitchen Hacks & Tasty Recipes,90,614,802671,68,13,3,7,0,2,5.230769230769231,0,0,1.0
v=zTgeMCgJmQU,BECOME A COOL PARENT WITH THESE PRICELESS HACKS AND CRAFTS,90,3840,5956789,58,10,0,10,0,4,5.8,0,0,0.675
v=GPH_z5E88lo,DIY GIANT BACKYARD POOL || Easy Backyard Decor Ideas For Parents and Kids,90,496,12250722,73,13,2,4,1,2,5.615384615384615,0,0,0.21666666666666667
v=hB2f60m0dPo,FIRST AID HACKS FOR SUMMER! Emergency Tips You Should Know,90,624,828683,58,10,1,5,0,3,5.8,0,0,0.3125
v=v9y3M5X2ua4,BEST SUMMER HACKS FOR SMART PARENTS #shorts,90,59,199331430,43,7,1,6,1,1,6.142857142857143,0,0,0.6071428571428571
